data,ug_mean,ug_max,ug_min,pollutionPM,ug_max2,
4/10/2016,82.99166667,116.8,55.8,24.4,116.8,116.8
4/11/2016,50.1375,79.3,38.4,32,79.3,79.3
4/12/2016,56.29583333,103.1,29.6,62.5,103.1,103.1
4/13/2016,27.975,47,13.1,96.2,47,47
4/14/2016,46.89166667,67.6,32.6,54.5,67.6,67.6
4/15/2016,54.07083333,106.6,24.9,70.9,106.6,106.6
4/16/2016,89.0375,182.5,67.8,36.1,182.5,182.5
4/17/2016,57.92916667,91.7,37.4,39.6,91.7,91.7
4/18/2016,38.0375,54.8,20.2,45.1,54.8,54.8
4/19/2016,23.05833333,38.8,11.2,50.9,38.8,38.8
4/20/2016,19.0875,29.5,6.2,33.8,29.5,29.5
4/21/2016,10.92916667,17.4,6.8,45.3,17.4,17.4
4/22/2016,24.88333333,57.5,5.9,54.1,57.5,57.5
4/23/2016,42.7875,84.1,14.1,51.9,84.1,84.1
4/24/2016,15.42083333,24.8,8.6,27.8,24.8,24.8
4/25/2016,59.12083333,77.4,47.4,45.9,77.4,77.4
4/26/2016,66.4,66.4,66.4,50.7,66.4,66.4
4/27/2016,29.56666667,44.6,16.3,22.8,44.6,44.6
4/28/2016,59.99166667,140.6,33.7,38,140.6,140.6
4/29/2016,46.22916667,63.6,32.7,32.8,63.6,63.6
4/30/2016,47.40833333,73.6,26.6,32.6,73.6,73.6
5/1/2016,32.34166667,62.8,24.7,33.9,62.8,62.8
5/2/2016,33.47916667,44.3,27.1,34.4,44.3,44.3
5/3/2016,30.59166667,61.1,18.4,30.5,61.1,61.1
5/4/2016,26.42083333,73.2,18.3,34.5,73.2,73.2
5/5/2016,26.95416667,50.7,7.9,42.6,50.7,50.7
5/6/2016,36.13333333,48.7,25,43.4,48.7,48.7
5/7/2016,33.39166667,44.9,20.6,37.7,44.9,44.9
5/8/2016,47.09583333,62.1,32.1,28.9,62.1,62.1
5/9/2016,56.82083333,80.5,39.9,29.8,80.5,80.5
5/10/2016,45.09090909,81.3,25.4,32.5,81.3,81.3
5/11/2016,40.2965035,66.96666667,24.96666667,41.8,66.96666667,66.96666667
5/12/2016,35.5020979,52.63333333,24.53333333,31.5,52.63333333,52.63333333
5/13/2016,30.70769231,38.3,24.1,37.3,38.3,38.3
5/14/2016,17.50416667,32.8,11.2,25.3,32.8,32.8
5/15/2016,41.44166667,65.1,19.3,28.8,65.1,65.1
